Name;First_Name;Profits
Marchal;Émilie;1681595.7
Pinto;Camille;1681350.85
Devaux;Suzanne;1680781.7
Roche;Philippe;1680375.15
Lefebvre;Alain;1680025.55
Etienne;Éric;1679870.05
Gimenez;Charlotte;1679085.65
Weber;Roland;1678667.75
Prevost;Inès;1677960.2
Lamy;Marine;1677794.8
Blanchard;Margaud;1676588.65
Valette;Lucie;1676413.8
Dupuis;Marie;1676210.25
Leroux;Aurélie;1675890.9
Leroy;Adélaïde;1675801.95
Charles;Cécile;1675725.3
Marty;Rémy;1675654.45
Bourgeois;Honoré;1674542.6
Lemoine;Marianne;1674046.65
Lopes;Raymond;1673992.1
Garcia;Émilie;1673971.1
Bonneau;Bernadette;1673430.35
Guillaume;Caroline;1673198.7
Traore;Hortense;1672805.7
Blanchard;Isaac;1671736.1
Legros;Alice;1670715.7
Devaux;Christiane;1670340.5
Marques;Henriette;1670220.65
Poirier;Jules;1670195.35
Sauvage;Thibault;1669832.4
Wagner;Manon;1669481.65
Gaillard;Guy;1669209.8
Hoareau;Théodore;1668568.15
Pineau;Lorraine;1668144.4
Charpentier;Aurélie;1666504.2
Dumont;Adrien;1665732.45
Charpentier;Josette;1665580.1
Grondin;Anaïs;1665320.3
Nguyen;Martin;1664977.7
Petitjean;Adèle;1664641.4
Lenoir;Zoé;1664434.8
Bernard;Suzanne;1664268.6
Salmon;Caroline;1664137.55
Roger;Roger;1662645.95
Ollivier;Gérard;1662549.6
Petit;Élise;1662423.45
Delattre;Colette;1661622.6
Pereira;Éléonore;1661577.95
Hubert;Constance;1661142.7
Coulon;Rémy;1660372.85
Joubert;Michèle;1660303.7
Pichon;Virginie;1660008.7
Ferrand;Adélaïde;1659205.5
Louis;Alphonse;1658775.5
Labbe;Madeleine;1658740.3
Martins;Thierry;1658184.4
Torres;Franck;1657450.65
Jacquot;Thibault;1656988.2
Vincent;Roland;1656086.05
Briand;Lucas;1655878.95
Renard;Étienne;1654301.45
Carpentier;Robert;1653300.3
Muller;Emmanuel;1652646.85
Vidal;Gilles;1652589.9
Henry;Hélène;1651813.85
Cousin;Édith;1651706.45
Lacroix;André;1650939.75
Bertin;Virginie;1649582.85
Boyer;Juliette;1649394.55
Poulain;Adèle;1648467.45
Techer;Margaret;1647501.1
Launay;Thierry;1647301.0
Poirier;Alfred;1647121.9
Begue;Margot;1646430.65
Fernandez;Marcel;1645510.05
Rodriguez;Geneviève;1645247.85
Barbe;Yves;1644963.95
Richard;Arthur;1643608.05
Morel;Aurélie;1643560.55
Boutin;Lorraine;1642535.75
Jacquot;Jacques;1642392.15
Ferreira;Martine;1641601.85
Lucas;René;1641147.55
Noel;Laurence;1640703.8
Gaillard;Adélaïde;1640556.8
Hardy;Geneviève;1640279.1
Delahaye;Lucy;1639986.65
Jacob;Danielle;1639794.6
Boulay;Martin;1639590.2
Bodin;Charles;1639214.6
Fontaine;André;1638777.45
Pineau;Alphonse;1638612.75
Benoit;Théophile;1638543.4
Georges;Christiane;1638326.75
Lelievre;Lucie;1637740.3
Morel;Sylvie;1637682.25
Robin;Noël;1637590.85
Gomez;Alix;1637425.3
Gimenez;Thierry;1636885.95
Le Roux;Pauline;1636699.55
Bousquet;Daniel;1636169.15
Schmitt;Catherine;1636044.15
Chauvet;Hélène;1635115.0
Buisson;Henriette;1634791.1
Berger;Mathilde;1634685.05
Rousset;Christiane;1634490.25
Fournier;Aurélie;1634288.85
Dupuis;Françoise;1633827.25
Klein;Bertrand;1633777.4
Raynaud;Emmanuelle;1633759.3
Boucher;Célina;1633415.65
Besson;Timothée;1633232.35
Allain;Danielle;1633049.7
Garcia;Isaac;1632660.0
Gallet;Joséphine;1632328.15
Boutin;Luce;1631403.7
Maury;Suzanne;1631388.7
Pasquier;Marcel;1631119.4
Vincent;Patricia;1631028.95
Gallet;Philippine;1630170.65
Bernard;Dorothée;1629684.45
Dijoux;Élise;1629515.9
Weiss;Grégoire;1629496.85
Thierry;Jeannine;1629351.15
Schneider;Franck;1628820.3
Dubois;Laurent;1628690.0
Blin;Sébastien;1628471.45
Joseph;Margot;1628309.35
Blanchard;Jacques;1628285.55
Sanchez;David;1628171.5
De Oliveira;Michelle;1627904.7
Cohen;Emmanuel;1627839.0
Bertin;Arnaude;1627599.3
Gilles;Étienne;1626418.35
Begue;Valérie;1625966.5
Laurent;Charles;1625719.8
Chauveau;Jérôme;1625586.35
Sanchez;Anastasie;1625458.0
Duhamel;Alphonse;1625338.5
Devaux;Laetitia;1624774.3
Vallet;Colette;1624650.2
Ribeiro;Adrienne;1624107.35
Gaudin;William;1623208.25
Marie;Anne;1623151.45
Dias;Sylvie;1622765.75
Lebrun;Franck;1622486.45
Brunet;Maurice;1622399.35
Labbe;Olivier;1622137.7
Faure;Gabriel;1622094.1
Schmitt;Anastasie;1621729.85
Gros;Marthe;1621556.15
Faivre;Agnès;1621148.95
Dubois;Margaux;1620510.1
Hamel;François;1620030.25
Leblanc;Christophe;1620015.75
Gautier;Christiane;1619359.3
Poirier;Célina;1619356.5
Petitjean;Alex;1619265.5
Leroy;Benjamin;1618804.05
Maury;Raymond;1618627.05
Payet;Alfred;1618298.45
Gonzalez;Olivie;1617879.85
Potier;William;1617846.3
Bonnin;Éric;1617693.85
Guilbert;Théophile;1617609.6
Faure;Margot;1616952.95
Alexandre;Amélie;1616198.0
Petitjean;Auguste;1615706.15
Faivre;Thomas;1615695.0
Didier;Claudine;1615627.4
Traore;Josette;1615574.95
Laurent;Valentine;1615529.7
Robert;Léon;1615475.85
Dumas;Nathalie;1615407.55
Nguyen;Valentine;1615335.75
Rodriguez;Élise;1615334.6
Bazin;André;1615197.1
Schmitt;Paul;1615129.1
Valentin;Vincent;1614297.7
Langlois;Étienne;1614282.55
Ledoux;Honoré;1614122.7
Pascal;Pauline;1613725.3
Royer;Jeanne;1613699.7
Pierre;Michel;1613179.4
Pierre;Lucas;1613059.2
Morin;Alexandria;1612903.8
Ribeiro;Suzanne;1612889.8
Schneider;Jeannine;1612796.85
Fleury;Caroline;1612443.6
Leconte;Isaac;1612339.2
Masson;Christophe;1612282.9
Legros;Théophile;1612205.7
Da Costa;Robert;1611897.15
Garnier;Joseph;1611471.55
Guibert;Danielle;1610515.65
Lemaitre;Renée;1610250.6
Gillet;Élisabeth;1610030.8
Andre;Julien;1610028.5
Vasseur;Éric;1609395.65
Delmas;Claudine;1609335.5
Guillaume;Christine;1609260.3
Legros;Aurélie;1609160.95
Ollivier;Margaret;1609117.2
Weber;Adèle;1609082.65
Allard;Zoé;1608772.1
Pons;Sophie;1608745.5
Auger;Éléonore;1608693.55
Pottier;Gérard;1608633.85
Boucher;Raymond;1608307.25
Foucher;Stéphane;1608213.85
Leroy;Louise;1608099.05
Allain;Océane;1608077.65
Langlois;Nicolas;1607880.25
Riviere;Mathilde;1607525.55
Didier;Patrick;1607510.4
Rocher;Grégoire;1607486.8
Lamy;Claudine;1607318.9
Le Goff;Margot;1607163.9
Rey;Noël;1606692.25
Julien;Jacques;1604883.1
Mahe;Emmanuelle;1604345.1
Mary;Agnès;1604234.55
Techer;Rémy;1604211.1
Dumas;Yves;1604171.45
Maillet;Dorothée;1604156.7
Mathieu;Joseph;1604082.3
Lenoir;Stéphane;1603877.55
Marques;Sabine;1603778.7
Bourdon;Victoire;1603112.0
Ferreira;Gabrielle;1602466.6
Gaudin;Marcel;1602292.25
Joubert;Sébastien;1601856.8
Morel;Guy;1600673.7
Michaud;Daniel;1600565.45
Benard;Antoine;1600423.1
Lebon;Éléonore;1600194.35
Henry;Capucine;1599805.4
Gaudin;Louis;1599679.25
Coulon;Gabriel;1599639.2
Da Costa;Léon;1599173.7
Leroux;Astrid;1598777.4
Jacquet;Aurore;1598760.75
Gomez;Denis;1598632.15
Thomas;Sophie;1598480.55
Barbe;Véronique;1598454.55
Bruneau;Rémy;1598249.45
Ollivier;Emmanuel;1598101.3
Berthelot;Guillaume;1597996.45
Lebon;Grégoire;1597664.3
Perez;Christelle;1597044.35
Barbier;Marine;1596848.05
Gay;Clémence;1596661.2
Chevallier;Auguste;1596570.05
Toussaint;Théophile;1596481.65
Durand;Marcelle;1596397.5
Picard;Arthur;1596344.15
Rolland;Émile;1595435.05
Bodin;Rémy;1595219.9
Gallet;Catherine;1595179.15
Dubois;Manon;1594523.55
Blanc;Adrienne;1594348.45
Dupuy;Élodie;1594057.7
Lebon;Grégoire;1593806.95
Chevallier;Bernard;1593721.2
Lemaire;Margot;1593702.1
Letellier;Sabine;1593380.3
Hamon;Amélie;1593330.75
Boutin;William;1592844.0
Guyot;Gabrielle;1592509.0
Rolland;Audrey;1592454.7
Moulin;Charlotte;1592419.85
Clement;Martine;1592360.3
Didier;Léon;1592360.0
Carpentier;Théophile;1591827.15
Meunier;Marguerite;1591785.95
Guillon;Benoît;1591196.55
Marechal;Charles;1591080.35
Guyon;Emmanuel;1590794.65
Gomes;Inès;1590720.45
Meyer;Hortense;1590479.0
Jourdan;Sébastien;1590387.55
Mace;Robert;1589716.45
Hamon;Agnès;1589181.0
Marechal;Thomas;1589148.6
Launay;Xavier;1589084.9
Ferreira;Adrienne;1588818.05
Pottier;Adrien;1588634.45
Duval;Raymond;1588097.4
Marchal;Françoise;1587898.55
Gerard;Arthur;1587860.25
Petitjean;Nicole;1587747.05
Marchal;Océane;1587597.0
Aubry;Louis;1587468.5
Joubert;Pierre;1587408.25
Berthelot;Richard;1587329.35
Weber;Lucas;1587245.15
Ramos;Stéphane;1587058.6
Nicolas;Pierre;1587024.8
Bonneau;Laurent;1586860.45
Brun;Amélie;1586309.7
Hamon;Étienne;1586265.7
Aubert;Laurence;1585474.6
Dos Santos;Alex;1585165.75
Robin;Camille;1584591.2
Alexandre;Anouk;1584045.95
Robin;Auguste;1583919.65
Chauvet;David;1583856.85
De Oliveira;Nathalie;1583530.95
Turpin;Denise;1583303.5
Leduc;Matthieu;1582957.9
Albert;Luce;1582812.0
Masson;Chantal;1582472.45
Rossi;Paulette;1582276.9
Charpentier;Marguerite;1582224.75
Dumont;Pierre;1581801.25
Bourdon;Susanne;1581651.15
Valette;Alexandria;1581598.05
De Sousa;Raymond;1581565.8
Dumas;Juliette;1581360.45
Guerin;Jean;1581288.85
Richard;Marguerite;1581078.55
Bernier;Thierry;1581013.8
Leveque;Adrien;1580753.95
Morvan;Noémi;1580135.15
Guilbert;Valérie;1579488.85
Martineau;Agathe;1579322.25
Lemaitre;Olivier;1578727.5
Grondin;Marcel;1578230.35
Philippe;Tristan;1578142.95
Aubert;Joséphine;1578071.85
Brunel;Hélène;1578036.6
Marie;Agathe;1577924.4
Joly;Théodore;1577637.9
Hamon;Emmanuelle;1577588.3
Boulay;Alfred;1577468.4
Verdier;Marcelle;1577458.65
Marchand;Martin;1577336.5
Marion;Martin;1577065.85
Rolland;Hugues;1577062.95
Riviere;Pauline;1577032.65
Lejeune;Antoinette;1576674.3
Petit;Eugène;1576611.85
Andre;Dominique;1576365.9
Guillou;Julien;1576115.45
Perret;Océane;1576084.5
Mercier;Philippe;1575379.7
Courtois;Célina;1575067.4
Dijoux;Aimée;1574918.4
Le Gall;Dorothée;1574869.2
Ledoux;Roger;1574766.65
Barre;Élisabeth;1574652.3
Dupuis;Bertrand;1574479.8
Bruneau;Adélaïde;1574357.6
Guillou;Sophie;1574069.2
Pinto;Joséphine;1573947.75
Dos Santos;Susan;1573675.8
Thibault;Célina;1572771.7
Pires;Andrée;1572313.7
Hardy;Daniel;1572087.4
Costa;Claude;1571568.0
Fernandes;Margaret;1571424.35
Martineau;William;1571404.1
Teixeira;Roland;1571315.0
Delorme;Aurore;1571314.7
Delmas;Martine;1570718.75
Rossi;Julien;1570548.8
Le Gall;Julie;1570524.45
Huet;Gérard;1570477.1
Colas;Gabriel;1570472.6
Allard;Jacqueline;1570191.35
Devaux;Aimé;1569985.4
Charles;Eugène;1569694.7
Lefort;Céline;1569644.25
Traore;Bernadette;1569492.05
Bouvier;Georges;1568805.25
Laporte;Zoé;1568763.55
Carpentier;Anne;1567622.8
Baudry;Antoinette;1567594.9
Letellier;Bernard;1567362.55
Vincent;Thibaut;1567332.7
Meunier;Alex;1567322.3
Paul;Virginie;1567196.35
Blanc;Alix;1567153.85
Antoine;Susan;1567023.3
Peron;Gabrielle;1566887.8
Aubry;Vincent;1566076.75
Dupre;Grégoire;1566065.15
Toussaint;Danielle;1566015.1
Leroy;Véronique;1565739.3
Bazin;Bernadette;1565721.5
Hubert;Robert;1565675.0
Olivier;William;1565614.25
Da Costa;Maryse;1565564.0
Georges;Adèle;1565364.2
Bernier;Timothée;1564992.95
Gautier;Élise;1564981.65
Roux;Colette;1564970.5
Georges;Nicolas;1564809.3
Chevalier;Honoré;1564784.25
Bruneau;Josette;1564596.35
Andre;Christelle;1564531.35
Mercier;Bertrand;1564490.6
Guilbert;Noël;1564019.45
Descamps;Margot;1563924.95
Rocher;Audrey;1563917.8
Renault;Yves;1563798.25
Pelletier;Julien;1563700.95
Mahe;Gilles;1563693.85
Breton;Louis;1563574.5
Gautier;Olivie;1563572.9
Lemaire;Henriette;1563568.9
Rey;Margot;1563525.1
Valentin;Martin;1563150.05
Roussel;Suzanne;1563115.95
Martineau;Charlotte;1563005.55
Albert;Édouard;1562946.95
Bousquet;Laurent;1562919.15
Thomas;Élise;1562825.05
Da Costa;Théophile;1562294.8
Fernandes;Joséphine;1562286.85
Fernandez;Valentine;1562098.15
Pons;Frédérique;1561951.2
Perrin;Emmanuelle;1561609.2
Bazin;Bertrand;1561601.5
Mercier;Emmanuelle;1561459.75
Begue;Stéphane;1561417.45
Chauvet;Josette;1561197.15
Morin;Honoré;1561184.45
Baron;Lorraine;1560938.8
Hamel;Agathe;1560933.8
Dupre;Luc;1560566.1
Moreau;Patricia;1560550.3
Leclerc;Chantal;1560170.75
Chauveau;Guy;1559944.1
Martel;Valentine;1559731.4
Fernandes;Yves;1559597.4
Camus;Vincent;1559445.25
Roy;Alexandrie;1559439.7
Didier;Michèle;1559275.15
Verdier;Victoire;1559160.75
Meyer;Augustin;1558982.2
Grenier;Louise;1558849.65
Rousseau;Alain;1558540.9
Michaud;Alexandria;1558501.45
Marques;Maggie;1558421.5
Perrier;Olivier;1558295.3
Morel;Danielle;1557904.7
Joseph;Bernadette;1557574.55
Vasseur;Renée;1557543.55
Fernandez;Michelle;1557404.55
Roy;Frédéric;1557244.25
Herve;Capucine;1557089.25
Rey;Laure;1556669.1
Germain;Louise;1556565.25
Lopes;Agathe;1556401.3
Denis;Augustin;1556368.95
Marion;Margaud;1556241.6
Richard;Noémi;1556172.95
Hebert;Robert;1555864.65
Diaz;Hélène;1555590.75
Dubois;Nicolas;1555553.55
Guillet;Émilie;1555499.2
Hamel;Charlotte;1555342.05
Etienne;Anastasie;1555136.55
Humbert;Diane;1554990.7
Alexandre;Michelle;1554794.9
Ferreira;Honoré;1554607.2
Leduc;Laure;1554456.1
Aubry;Matthieu;1554344.55
Jacques;Pierre;1554295.6
Guillet;Philippe;1554188.5
Maury;Noël;1554173.65
Diaz;Adélaïde;1553929.05
Hebert;Claire;1553788.65
Antoine;Agnès;1553716.5
Guillon;Augustin;1553710.0
Thomas;Guillaume;1553558.6
Lacombe;Jérôme;1553539.4
Lefevre;Sylvie;1553218.65
Ferreira;Caroline;1553108.25
Picard;Alexandrie;1553051.2
Rolland;Margaret;1553010.75
Gomes;Lorraine;1552789.6
Gosselin;Emmanuelle;1552570.55
Albert;Denise;1552508.05
Salmon;Olivie;1552497.5
Evrard;Alex;1552259.2
Laine;Arnaude;1552164.05
Hoareau;Émilie;1551877.15
Hernandez;Paulette;1551786.15
Leduc;Sophie;1551685.7
Michaud;Zoé;1551570.85
Bernard;Gilbert;1551352.25
Fleury;Nicolas;1551257.65
Goncalves;Agnès;1551205.4
Lucas;Alexandria;1551007.55
Bouvet;Vincent;1550897.45
Lamy;Henri;1550595.15
Didier;Antoinette;1550541.6
Bouvier;Arthur;1550434.2
Blanchard;Susan;1550306.3
Benard;Colette;1549894.35
Hebert;Jules;1549836.25
Blanc;Monique;1549704.15
Duval;François;1549482.6
Guillet;Thibault;1549433.8
Moulin;Thomas;1549242.4
Michaud;Dominique;1549238.0
Evrard;Anaïs;1548644.85
Levy;Anaïs;1548505.5
Julien;Gilles;1548493.6
Boulay;Renée;1548391.4
Foucher;Lorraine;1548345.15
Peltier;Margaux;1548278.75
Marechal;Roland;1548096.7
Leconte;Jérôme;1547833.1
Lebreton;Gilles;1547815.4
Teixeira;Michelle;1547731.15
Verdier;Lucy;1547689.7
Dubois;Nicolas;1547557.9
Chretien;Laurent;1547524.3
Voisin;Marie;1547407.55
Pelletier;René;1547339.35
Martel;Jérôme;1547325.4
Vallet;Clémence;1547313.55
Benard;Théodore;1547139.75
Gay;Benoît;1547136.35
Bonneau;Augustin;1547039.0
Bourdon;Roger;1546985.5
Pierre;Marie;1546763.55
Lombard;Christine;1546416.25
Dupre;Marianne;1546250.25
Da Silva;Joseph;1546216.35
Pierre;Susanne;1545721.6
Pires;Jeannine;1545591.0
Guillot;Amélie;1545298.45
Moreau;Virginie;1545149.9
Lacroix;Olivie;1544570.2
Baron;Xavier;1544300.75
Adam;Martine;1544144.6
Faure;Paulette;1544003.85
Cordier;Franck;1543905.65
Tessier;Timothée;1543464.8
Langlois;Susanne;1543365.25
De Oliveira;Édouard;1543350.65
Petitjean;Bernadette;1543210.75
Blanchet;Honoré;1542721.75
Costa;Gabriel;1542713.65
Delannoy;Benjamin;1542556.3
Potier;Gabrielle;1542480.85
Lefort;Yves;1542244.1
Sauvage;Maryse;1541877.2
Deschamps;Richard;1541815.5
Cordier;Adrien;1541517.9
Boyer;Élisabeth;1541388.7
Lefort;Guy;1541329.8
Vidal;Luc;1541156.55
Delahaye;Constance;1541027.6
Boulay;Susan;1540957.15
Seguin;Valentine;1540798.1
Delannoy;Guillaume;1539834.35
Gomes;Théophile;1539822.35
Rousset;Françoise;1539746.1
Descamps;Virginie;1539730.45
Camus;Simone;1539283.7
Gonzalez;Édouard;1538963.1
Chauvin;Martine;1538833.7
Chauveau;Franck;1538793.65
Faivre;Adrien;1538290.8
Marie;Éléonore;1538127.95
Lebon;Denis;1537778.1
Ferreira;Isaac;1537593.55
Jacquot;Marie;1537439.65
Hubert;Constance;1537241.35
Renault;Brigitte;1537180.95
Noel;Geneviève;1537035.65
Bertin;Étienne;1536172.95
Ollivier;Frédérique;1535763.35
Payet;Xavier;1535740.45
Berthelot;Richard;1535708.0
Goncalves;Thibaut;1535704.95
Raynaud;Juliette;1535664.8
Julien;Émilie;1535528.6
Weiss;Michel;1535383.1
Dumont;Henriette;1535286.1
Lemonnier;Lucas;1535179.25
Mercier;Rémy;1535132.6
Bonnet;Anouk;1535101.5
Morvan;Olivier;1534700.9
Paris;Stéphane;1534609.7
Girard;Jacques;1534600.95
Peltier;Alfred;1534495.35
Huet;Agnès;1534255.6
Riviere;Gabrielle;1534153.55
Collet;Geneviève;1534049.1
Colas;Dorothée;1534048.9
Petit;Thomas;1534045.75
Verdier;Margaud;1534029.15
Lemonnier;Luce;1534025.15
Carlier;Alexandria;1533970.4
Marie;Paulette;1533303.4
Payet;Vincent;1533221.3
Besson;Jean;1533181.6
Joly;Marcelle;1533164.9
Lopes;Jeanne;1533143.8
Letellier;Alain;1533071.85
Blanchard;Agathe;1532691.75
Klein;Joseph;1532565.65
Herve;Léon;1532551.55
Pruvost;Colette;1532432.55
Perrier;Patrick;1532413.05
Breton;Luc;1532411.7
Guichard;Eugène;1532367.2
Blondel;Yves;1532242.5
Martel;Alphonse;1532213.1
Charrier;Michelle;1532044.6
Rey;Joséphine;1531895.75
Besson;Agnès;1531793.7
Torres;Agathe;1531772.35
Martins;Gabriel;1531730.3
Goncalves;Auguste;1531595.2
Gauthier;Marguerite;1531225.2
Bernier;Nath;1531185.5
Fernandes;Victor;1531091.1
Hernandez;Timothée;1530962.0
Maury;Isabelle;1530842.4
Mendes;Gilbert;1530495.2
Morin;Rémy;1530378.5
Dupuy;Susan;1530260.3
Michaud;Monique;1530259.9
Grondin;Julien;1530233.1
Lefevre;Jeanne;1530218.6
Huet;Aurore;1530119.95
Jourdan;Nicolas;1530109.9
Henry;Andrée;1530092.8
Levy;Monique;1529795.6
Tessier;Thérèse;1529578.3
Alexandre;Raymond;1529431.95
Mendes;Anaïs;1529333.9
Raynaud;Susanne;1529299.45
Weiss;Océane;1529078.75
Ribeiro;Luce;1528767.7
Marin;Juliette;1528632.5
Leclercq;Élisabeth;1528457.75
Voisin;Louis;1528216.3
Bigot;Martine;1528143.45
Collin;Henriette;1528100.2
Noel;Victoire;1528082.6
Riviere;Michel;1528029.15
Dumas;Patricia;1528002.15
Chevalier;Étienne;1527997.15
Renault;Adèle;1527926.45
Dijoux;Susan;1527587.2
Gregoire;Margot;1527559.8
Faivre;Antoinette;1527527.3
Alves;Henriette;1527458.4
Gallet;Adélaïde;1527379.45
Gimenez;Catherine;1527322.45
Guichard;Susan;1527202.1
Renault;Laure;1527160.25
Dijoux;Julien;1527138.45
Costa;Roland;1526990.85
Meunier;Camille;1526857.65
Pinto;Joséphine;1526584.25
Noel;Laurent;1526329.75
Cohen;Alexandria;1526319.3
Alves;Élise;1526267.0
Lenoir;Xavier;1526182.8
Marques;Franck;1526152.85
Dumont;Danielle;1526141.35
Gros;Colette;1526099.75
Barbier;Lorraine;1525730.7
Germain;Lucy;1525611.7
Ribeiro;Laetitia;1525538.45
Muller;Audrey;1525441.85
Buisson;Martin;1525339.6
Tessier;Valérie;1525314.8
Vaillant;Christiane;1525145.35
Allard;Patricia;1525122.35
Leger;Thomas;1525110.9
Leger;René;1524696.2
De Oliveira;Emmanuelle;1524408.75
Gillet;Michel;1524216.9
Merle;Bernadette;1524104.8
Valette;Valentine;1524086.6
Allain;Catherine;1524063.45
Perret;Stéphane;1523840.55
Daniel;Édouard;1523829.2
Prevost;Luc;1523496.2
Antoine;Colette;1523230.9
Remy;Théophile;1522990.45
Hamel;Christophe;1522974.0
Colas;Laetitia;1522852.7
Thierry;Emmanuelle;1522630.1
Denis;Maurice;1522495.35
Gauthier;Sabine;1522386.25
Le Roux;Aurore;1522318.05
Marchal;Anouk;1522226.7
Bazin;Nicolas;1522154.15
Clement;Adrien;1522107.3
Chauvet;Patrick;1522022.7
